,Year_Built,Size,opex_sqft_month,WalkScore,TransitScore,geohash,EstRentableArea,EstValue,Cap_Rate_Iss,Ownership,AirCon,Pool,Condition,constructionType,parkingType,numberOfBuildings,propertyTaxAmount,taxRate,zrent_median,mos_since_last_sale,Median_Home_Value_2019,Area_per_unit,Revenue_per_sqft_month
2,1987.0,80.0,0.53,72.0,25.375,9q5ew,75251.0,4800000.0,0.06582410138888885,Y,CENTRAL,Yes,GOOD,WOOD,UNKNOWN,1.0,177020.09,0.00775,3236.0,81.3047528130755,701200.0,940.6375,2.94
18,1961.0,261.0,0.8066666666666666,92.0,61.0,9qh0s,192472.0,51790000.0,0.0479790693184012,Y,NONE,LAP,AVERAGE,FRAME,UNKNOWN,1.0,613392.76,0.013,3995.0,193.30705265496135,520400.0,737.44061302682,2.37
19,1959.0,264.0,0.26,73.0,35.0,9qh0s,201681.0,12800000.0,0.0791071875,N,NONE,LAP,AVERAGE,FRAME,UNKNOWN,1.0,616114.92,0.013,3995.0,120.00780626386504,520400.0,763.9431818181819,1.13
22,1941.0,42.0,0.6362500000000001,95.0,64.0,9q5cg,11848.0,2485000.0,0.0804144869215291,Y,NONE,NONE,UNKNOWN,UNKNOWN,UNKNOWN,1.0,5376.23,0.004206521739130437,2695.0,290.0975411660191,190800.0,282.0952380952381,2.17
34,1990.0,268.0,0.46,65.0,2.6666666666666665,9vg5v,191444.0,21000000.0,0.0546092857142857,Y,NONE,Yes,UNKNOWN,UNKNOWN,UNKNOWN,1.0,481957.6,0.07163285442576246,1497.0,120.00780626386504,190800.0,714.3432835820895,1.51
37,1979.0,232.0,0.41500000000000004,16.0,43.0,9vk4m,203978.0,8775000.0,0.0669078062678062,Y,CENTRAL,INDOOR,AVERAGE,MASONRY,OFF STREET,16.0,42375.28,0.07163285442576246,1800.0,78.93920115903742,190800.0,879.2155172413793,2.55
41,1969.0,30.0,0.4457142857142857,79.0,56.0,9v6s8,19685.0,3500000.0,0.0363367914285714,N,NONE,COMMERCIAL,AVERAGE,WOOD,UNKNOWN,1.0,77126.27,0.07163285442576246,2535.0,2.4201761277226015,638500.0,656.1666666666666,4.08
44,1925.0,27.0,0.8214285714285715,99.0,78.0,9q8zn,17211.0,3000000.0,0.0622636666666666,N,NONE,NONE,UNKNOWN,WOOD/STEEL,UNKNOWN,1.0,75298.82,0.0015357142857142857,3320.0,132.9526305929067,208300.0,637.4444444444445,2.33
49,1988.0,405.0,0.49,34.0,39.24075664319679,dhwuy,346662.0,30400000.0,0.0610148355263157,N,YES,Yes,AVERAGE,WOOD/STEEL,UNKNOWN,2.0,1443763.84,0.029,9000.0,11.488124134868539,106400.0,855.9555555555555,1.8275000000000001
50,1988.0,405.0,0.49,34.0,39.24075664319679,dhwuy,346662.0,45500000.0,0.0557195824175824,N,YES,Yes,AVERAGE,WOOD/STEEL,UNKNOWN,2.0,1443763.84,0.029,9000.0,11.488124134868539,106400.0,855.9555555555555,1.8275000000000001
58,1974.0,123.0,0.38,21.0,27.0,djmu7,130339.0,6300000.0,0.0684554507936508,Y,CENTRAL,Yes,AVERAGE,MASONRY,DETACHED,12.0,98174.02,0.013,1236.5,184.89620232949267,252800.0,1059.6666666666667,1.09
64,1989.0,25.0,0.7735714285714286,91.0,63.0,9q5cs,11128.0,2350000.0,0.0921817021276595,Y,CENTRAL,NONE,EXCELLENT,WOOD,UNKNOWN,1.0,25055.37,0.005607594936708863,2560.0,120.00780626386504,596000.0,445.12,4.93
70,1962.0,27.0,0.6552631578947368,97.0,56.0,9q5cf,24543.0,1600000.0,0.0797539748743718,Y,NONE,NONE,GOOD,WOOD,ASSIGNED SPACE(S),1.0,111668.83,0.004418604651162793,2560.0,78.31495836144404,676300.0,909.0,5.93
71,1959.0,30.0,0.6552631578947368,89.0,56.0,9q5cf,26519.0,1565000.0,0.0797539748743718,Y,NONE,Yes,GOOD,WOOD,SUBTERRANEAN,1.0,40886.32,0.004418604651162793,2536.0,292.3316732837217,622700.0,883.9666666666667,5.49
73,1958.0,33.0,0.6552631578947368,94.0,59.0,9q5cf,27215.0,1625000.0,0.0797539748743718,Y,NONE,Yes,GOOD,WOOD,GARAGE/CARPORT,1.0,40505.16,0.004418604651162793,2595.0,402.2969703124081,190800.0,824.6969696969697,5.35
74,1971.0,55.0,0.6233333333333334,95.0,59.0,9q5c9,28232.0,3000000.0,0.0797539748743718,Y,NONE,NONE,GOOD,WOOD,UNKNOWN,1.0,56684.22,0.0040789473684210535,2998.0,120.00780626386504,190800.0,513.3090909090909,5.16
82,1928.0,117.0,0.6356666666666667,100.0,100.0,9q8yy,52661.0,4400000.0,0.0692257136363636,N,NONE,NONE,UNKNOWN,WOOD,UNKNOWN,1.0,119898.36,0.0012121212121212128,3263.5,184.99476698174425,177700.0,450.0940170940171,1.01
98,1973.0,20.0,0.49,79.0,39.75,9qbbe,18480.0,2000000.0,0.0713955,N,NONE,NONE,UNKNOWN,UNKNOWN,GARAGE,1.0,51285.4,0.00375,4000.0,1471.0992044445259,190800.0,924.0,1.26
100,1967.0,78.0,0.28,5.0,1.8725,9tbq9,44064.0,2150000.0,0.0937320930232558,Y,PACKAGE,NONE,AVERAGE,CONCRETE,UNKNOWN,4.0,31654.2,0.149,1600.0,538.6118843763519,351300.0,564.9230769230769,1.04
