,Unnamed: 0,Class,Sector,Msa,MsaName,Quarter,Year,TotalMonths,VacantQty,VacantPct,NetAbsorptionUnits,AbsorpOccPct,OccupiedQty,AskingUsd,AskingPctChg,EffectiveUsd,EffectivePctChg,TotalUnits,CompletionsUnits,ConstrabsorpRatio,ConversionsQty,Date_Col
0,0,BC,Off,PX,"Phoenix, AZ",1,1999,,3904000.0,11.7,415000.0,1.4,,18.18,-0.7,,,33283000.0,734000.0,1.8,0.0,1999 - Q1
1,1,A,Off,PX,"Phoenix, AZ",1,1999,,1351000.0,7.9,597000.0,3.8,,23.71,-1.5,,,17067000.0,834000.0,1.4,0.0,1999 - Q1
2,2,A,Off,PX,"Phoenix, AZ",2,1999,,1919000.0,10.8,92000.0,0.6,,23.48,-1.0,,,17727000.0,660000.0,7.2,0.0,1999 - Q2
3,3,BC,Off,PX,"Phoenix, AZ",2,1999,,4384000.0,13.1,-380000.0,-1.3,,18.45,1.5,,,33383000.0,100000.0,-0.3,0.0,1999 - Q2
4,4,A,Off,PX,"Phoenix, AZ",3,1999,,1752000.0,9.6,757000.0,4.6,,22.98,-2.1,,,18317000.0,590000.0,0.8,0.0,1999 - Q3
5,5,BC,Off,PX,"Phoenix, AZ",3,1999,,3970000.0,11.8,563000.0,1.9,,18.41,-0.2,,,33532000.0,149000.0,0.3,0.0,1999 - Q3
6,6,BC,Off,PX,"Phoenix, AZ",4,1999,,3975000.0,11.8,70000.0,0.2,,18.41,0.0,,,33607000.0,75000.0,1.1,0.0,1999 - Q4
7,7,A,Off,PX,"Phoenix, AZ",4,1999,,2110000.0,10.7,1122000.0,6.3,,22.95,-0.1,,,19797000.0,1480000.0,1.3,0.0,1999 - Q4
8,8,BC,Off,PX,"Phoenix, AZ",1,2000,,4201000.0,12.4,-77000.0,-0.3,,18.57,0.9,,,33756000.0,149000.0,-1.9,0.0,2000 - Q1
9,9,A,Off,PX,"Phoenix, AZ",1,2000,,2368000.0,11.5,469000.0,2.6,,23.15,0.9,,,20524000.0,727000.0,1.6,0.0,2000 - Q1
10,10,BC,Off,PX,"Phoenix, AZ",2,2000,,4670000.0,13.8,-324000.0,-1.1,,18.54,-0.2,,,33901000.0,145000.0,-0.4,0.0,2000 - Q2
11,11,A,Off,PX,"Phoenix, AZ",2,2000,,2510000.0,11.8,632000.0,3.4,,23.59,1.9,,,21298000.0,774000.0,1.2,0.0,2000 - Q2
12,12,BC,Off,PX,"Phoenix, AZ",3,2000,,4357000.0,12.8,435000.0,1.5,,18.63,0.5,,,34023000.0,122000.0,0.3,0.0,2000 - Q3
13,13,A,Off,PX,"Phoenix, AZ",3,2000,,2270000.0,10.6,383000.0,2.0,,23.77,0.8,,,21441000.0,143000.0,0.4,0.0,2000 - Q3
14,14,BC,Off,PX,"Phoenix, AZ",4,2000,,4505000.0,13.2,73000.0,0.2,,18.65,0.1,,,34244000.0,221000.0,3.0,0.0,2000 - Q4
15,15,A,Off,PX,"Phoenix, AZ",4,2000,,2685000.0,11.9,638000.0,3.2,,24.16,1.6,,,22494000.0,1053000.0,1.7,0.0,2000 - Q4
